State Code,"All students, 2015-16",Change from 2010-11 to 2015-16 (in percentage points)
NATIONAL,84.1,5
AL,87.1,15
AK,76.1,8
AZ,79.5,2
AR,87,6
CA,83,7
CO,78.9,5
CT,87.4,4
DE,85.5,8
DC,69.2,10
FL,80.7,10
GA,79.4,12
HI,82.7,3
ID,79.7,—
IL,85.5,2
IN,86.8,1
IA,91.3,3
KS,85.7,3
KY,88.6,—
LA,78.6,8
ME,87,3
MD,87.6,5
MA,87.5,5
MI,79.7,6
MN,82.2,5
MS,82.3,7
MO,89,8
MT,85.6,4
NE,89.3,3
NV,73.6,12
NH,88.2,2
NJ,90.1,7
NM,71,8
NY,80.4,3
NC,85.9,8
ND,87.5,2
OH,83.5,4
OK,81.6,—
OR,74.8,7
PA,86.1,3
RI,82.8,6
SC,82.6,9
SD,83.9,1
TN,88.5,3
TX,89.1,3
UT,85.2,9
VT,87.7,1
VA,86.7,5
WA,79.7,4
WV,89.8,12
WI,88.2,1
WY,80,0
