(Thousands of Dollars),United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total revenue,"2,136,635,006","30,172,490","8,071,732","38,232,376","21,439,227","322,332,341","31,424,888","28,139,072","8,083,659","85,575,636","45,859,766","13,417,567","9,401,987","75,492,133","38,687,720","23,716,008","17,609,012","29,917,598","26,842,105","8,987,038","42,037,052","60,311,575","71,188,554","44,247,753","20,880,788","33,039,255","6,862,804","10,881,575","16,808,682","8,343,685","65,689,159","18,602,071","185,619,993","55,216,832","7,324,343","78,331,623","22,862,875","32,763,887","90,792,145","8,201,456","28,937,828","4,537,220","31,427,933","144,218,813","18,164,518","6,488,122","51,655,912","51,122,740","13,906,210","36,853,220","5,914,028"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General revenue,"1,909,321,839","25,288,886","7,628,651","34,582,961","20,346,096","282,907,926","27,554,624","26,171,704","7,962,885","80,261,324","42,279,551","12,919,296","8,150,771","68,847,197","36,259,733","21,074,390","16,459,697","28,198,449","24,110,397","8,310,408","39,159,671","54,701,395","61,246,103","41,213,212","18,953,932","28,850,421","6,011,223","10,129,757","13,904,474","6,996,686","60,952,881","16,536,739","164,398,893","51,110,442","6,699,443","67,466,442","20,920,581","28,108,614","79,737,894","7,430,240","24,904,905","4,250,719","28,984,418","122,794,738","16,441,022","6,121,318","45,425,587","43,977,131","12,845,029","34,642,530","5,090,453"
Intergovernmental revenue,"637,167,820","9,521,969","2,853,202","14,540,462","7,431,541","94,336,283","8,703,745","7,320,793","2,231,253","27,390,107","14,571,741","2,943,334","2,721,730","20,264,895","13,041,760","6,645,791","3,828,203","11,563,609","10,361,925","2,893,648","12,290,258","16,401,221","20,908,261","11,321,336","8,299,349","10,987,857","2,445,647","3,162,157","4,558,408","2,609,075","17,976,242","7,030,082","56,822,852","15,908,501","1,641,468","24,257,560","7,246,312","10,027,193","26,240,030","2,518,206","8,272,305","1,475,385","11,238,782","43,750,542","4,233,941","2,139,158","10,227,735","13,704,988","4,845,755","9,317,942","2,143,281"
Taxes,"922,855,839","9,919,794","1,042,164","14,676,375","9,452,883","155,231,252","12,795,318","15,244,947","3,522,301","37,640,420","21,454,860","6,919,035","4,205,848","38,907,220","17,587,958","9,559,058","8,058,949","11,778,866","9,309,673","4,130,242","20,894,199","27,277,284","27,436,607","25,189,128","7,660,391","12,245,169","2,627,943","5,117,133","8,025,043","2,641,946","31,546,720","5,462,105","81,353,963","26,201,826","3,709,105","28,694,883","8,491,187","11,043,311","37,394,589","3,265,727","9,555,900","1,747,550","13,386,169","52,132,817","7,082,961","3,085,865","21,219,757","22,280,088","5,127,970","17,607,733","1,913,607"
General sales,"291,472,708","2,596,223",0,"6,660,817","3,314,363","39,189,007","2,840,173","3,752,793",0,"22,291,157","5,480,196","3,206,154","1,559,332","11,344,480","7,306,331","3,162,854","3,240,354","3,462,704","3,186,614","1,359,190","4,504,242","6,089,860","9,163,542","5,583,910","3,297,760","3,536,396",0,"1,783,498","4,266,267",0,"9,267,703","2,085,366","13,534,170","7,187,844","1,017,269","12,226,504","2,471,242",0,"10,221,593","973,585","3,268,415","968,787","7,006,376","32,131,385","2,083,671","371,365","3,931,717","13,560,382","1,286,833","5,058,789","641,495"
Selective sales,"149,651,791","2,509,879","260,846","2,019,192","1,275,709","14,176,746","2,056,856","2,396,989","539,193","8,138,145","2,928,260","1,109,748","558,096","7,179,785","3,301,876","1,430,472","1,084,599","2,140,416","2,166,293","718,723","4,435,188","2,594,006","4,075,591","4,536,737","1,480,034","1,765,868","562,474","579,220","2,081,507","982,832","3,905,629","844,638","11,255,847","3,961,516","479,555","6,004,663","1,307,157","1,532,190","9,062,781","691,853","1,352,392","471,254","2,697,871","14,239,389","948,148","659,892","2,954,661","4,075,649","1,279,857","2,662,918","178,651"
License taxes,"51,984,016","507,479","120,529","482,362","396,891","8,551,427","702,499","455,454","1,452,596","2,241,468","663,946","263,130","372,883","2,745,949","714,634","925,958","396,648","505,377","400,191","272,253","884,363","1,122,219","1,660,663","1,426,235","553,510","547,326","319,020","185,082","651,067","329,549","1,499,889","342,527","1,794,987","1,869,060","204,055","2,223,747","1,039,167","1,048,709","2,159,170","120,936","499,053","268,227","1,516,966","3,414,335","290,426","117,328","826,306","1,461,200","128,478","1,151,656","157,086"
Individual income tax,"343,620,739","3,492,904",0,"3,967,924","2,781,458","80,753,345","6,485,602","7,557,153","1,112,368",0,"10,439,534","2,116,130","1,521,238","13,806,525","5,218,166","3,553,325","2,231,902","4,282,080","2,866,456","1,551,637","8,517,529","14,430,331","9,303,847","10,732,570","1,800,053","6,023,701","1,181,042","2,244,719",0,"87,973","13,355,992","1,409,811","46,508,632","12,042,957","351,125","8,169,197","2,996,870","7,690,019","11,932,232","1,236,194","3,869,342",0,"323,952",0,"3,374,535","729,986","12,237,996",0,"1,845,711","7,486,676",0
Corporate income tax,"46,201,841","376,680","212,252","570,548","450,159","9,902,185","626,109","719,467","318,152","2,272,230","981,002","108,169","188,996","3,367,461","1,034,367","376,865","391,877","606,840","171,579","137,492","1,129,008","2,333,892","898,213","1,515,697","463,111","328,736","118,969","307,672",0,"700,237","2,229,487","113,942","4,181,811","1,066,511","103,069","33,235","327,783","609,868","2,456,231","144,269","440,489","32,684","1,538,649",0,"333,358","98,336","752,689",0,"144,680","986,785",0
