State,Debt at end of fiscal year
United States,1150140105
Alabama,9125828
Alaska,5727891
Arizona,14243659
Arkansas,4985140
California,151715007
Colorado,16843571
Connecticut,35351526
Delaware,4964915
Florida,33362901
Georgia,13247675
Hawaii,8757730
Idaho,3685377
Illinois,64212776
Indiana,22463710
Iowa,6223008
Kansas,7581462
Kentucky,13784882
Louisiana,17616233
Maine,5011671
Maryland,26592571
Massachusetts,75307661
Michigan,33245109
Minnesota,15862174
Mississippi,7470450
Missouri,19396172
Montana,3206612
Nebraska,1809126
Nevada,3351972
New Hampshire,8211178
New Jersey,67167455
New Mexico,6738313
New York,137369589
North Carolina,17514428
North Dakota,2063788
Ohio,33108954
Oklahoma,8918175
Oregon,13061182
Pennsylvania,47920479
Rhode Island,9004835
South Carolina,15122266
South Dakota,3346046
Tennessee,6031121
Texas,48038004
Utah,7479978
Vermont,3388764
Virginia,28231613
Washington,32231967
West Virginia,7123763
Wisconsin,22086615
Wyoming,834783
