,code,State,Revenue 2015,Debt 2015
0,,United States,2202562898,1150140105
1,AL,Alabama,26896290,9125828
2,AK,Alaska,8419335,5727891
3,AZ,Arizona,35346766,14243659
4,AR,Arkansas,21665918,4985140
5,CA,California,332456557,151715007
6,CO,Colorado,32734001,16843571
7,CT,Connecticut,30307639,35351526
8,DE,Delaware,8268967,4964915
9,FL,Florida,91563525,33362901
10,GA,Georgia,45506660,13247675
11,HI,Hawaii,13065465,8757730
12,ID,Idaho,9346857,3685377
13,IL,Illinois,83631798,64212776
14,IN,Indiana,38919794,22463710
15,IA,Iowa,23478150,6223008
16,KS,Kansas,17949994,7581462
17,KY,Kentucky,30059829,13784882
18,LA,Louisiana,28101183,17616233
19,ME,Maine,8949059,5011671
20,MD,Maryland,42718541,26592571
21,MA,Massachusetts,61139906,75307661
22,MI,Michigan,68301496,33245109
23,MN,Minnesota,47407059,15862174
24,MS,Mississippi,21333157,7470450
25,MO,Missouri,34610377,19396172
26,MT,Montana,7487622,3206612
27,NE,Nebraska,11361675,1809126
28,NV,Nevada,16439338,3351972
29,NH,New Hampshire,8021839,8211178
30,NJ,New Jersey,69746902,67167455
31,NM,New Mexico,19339452,6738313
32,NY,New York,203800058,137369589
33,NC,North Carolina,54804141,17514428
34,ND,North Dakota,9883423,2063788
35,OH,Ohio,85140343,33108954
36,OK,Oklahoma,24938838,8918175
37,OR,Oregon,35086418,13061182
38,PA,Pennsylvania,90832375,47920479
39,RI,Rhode Island,8404265,9004835
40,SC,South Carolina,29546888,15122266
41,SD,South Dakota,4875457,3346046
42,TN,Tennessee,30806454,6031121
43,TX,Texas,138700488,48038004
44,UT,Utah,18625819,7479978
45,VT,Vermont,6343741,3388764
46,VA,Virginia,51639540,28231613
47,WA,Washington,50247438,32231967
48,WV,West Virginia,14946301,7123763
49,WI,Wisconsin,42099660,22086615
50,WY,Wyoming,7266100,834783
