(Thousands of Dollars),Total revenue,,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,,Current charge,Miscellaneous general revenue,,Utility revenue,Liquor stores revenue,Insurance trust revenue,,Total expenditure,Intergovernmental expenditure,Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,,Total expenditure,General expenditure,Intergovernmental expenditure,Direct expenditure,,"General expenditure, by function:",Education,Public welfare,Hospitals,Health,Highways,,Police protection,Correction,Natural resources,Parks and recreation,Governmental administration,,Interest on general debt,Other and unallocable,,Utility expenditure,Liquor stores expenditure,Insurance trust expenditure,,Debt at end of fiscal year,,Cash and security holdings
United States,2136635006.00,,1909321839.00,637167820.00,922855839.00,291472708.00,149651791.00,51984016.00,343620739.00,46201841.00,39924744.00,,208904262.00,140393918.00,,13823602.00,8088520.00,205401045.00,,2224959623.00,532698646.00,1692260977.00,1184405722.00,128605961.00,285400474.00,46723289.00,47125531.00,265784140.00,,2224959623.00,1905865863.00,532698646.00,1373167217.00,,,664418485.00,638961550.00,80924379.00,63693717.00,124525396.00,,16479609.00,51835963.00,24071822.00,6516984.00,57615422.00,,44623911.00,132198625.00,,27246160.00,6447126.00,285400474.00,,1160488556.00,,4159813529.00
Alabama,30172490.00,,25288886.00,9521969.00,9919794.00,2596223.00,2509879.00,507479.00,3492904.00,376680.00,436629.00,,4704941.00,1142182.00,,,325393.00,4558211.00,,29747318.00,6672049.00,23075269.00,16611118.00,1810752.00,3541484.00,773560.00,338355.00,4760946.00,,29747318.00,25884491.00,6672049.00,19212442.00,,,10936141.00,7203252.00,2636578.00,517728.00,1653128.00,,170514.00,541525.00,250813.00,18359.00,575510.00,,338355.00,1042588.00,,75.00,321268.00,3541484.00,,8667105.00,,42962452.00
Alaska,8071732.00,,7628651.00,2853202.00,1042164.00,0.00,260846.00,120529.00,0.00,212252.00,448537.00,,700785.00,3032500.00,,18640.00,,424441.00,,12359938.00,2038078.00,10321860.00,7146868.00,1505040.00,1329941.00,155125.00,184886.00,1718737.00,,12359938.00,10797248.00,2038078.00,8759170.00,,,2787912.00,2372655.00,28295.00,251371.00,1290503.00,,140154.00,332443.00,479705.00,15045.00,701168.00,,181709.00,2216288.00,,232749.00,,1329941.00,,5953933.00,,74144627.00
Arizona,38232376.00,,34582961.00,14540462.00,14676375.00,6660817.00,2019192.00,482362.00,3967924.00,570548.00,975532.00,,2880476.00,2485648.00,,29095.00,,3620320.00,,41770243.00,10904370.00,30865873.00,23704082.00,1596599.00,4266980.00,658760.00,639452.00,3973399.00,,41770243.00,37473645.00,10904370.00,26569275.00,,,12502920.00,14284731.00,53321.00,2640044.00,2194035.00,,247231.00,1073370.00,271519.00,80650.00,777015.00,,637325.00,2711484.00,,29618.00,,4266980.00,,14400191.00,,58120830.00
Arkansas,21439227.00,,20346096.00,7431541.00,9452883.00,3314363.00,1275709.00,396891.00,2781458.00,450159.00,1234303.00,,2454868.00,1006804.00,,,,1093131.00,,22881728.00,5882840.00,16998888.00,13345202.00,1101042.00,1936105.00,485634.00,130905.00,3006878.00,,22881728.00,20945623.00,5882840.00,15062783.00,,,8440012.00,6979738.00,1021700.00,296508.00,1443384.00,,119889.00,429314.00,304251.00,71110.00,658278.00,,130905.00,1050534.00,,,,1936105.00,,4828756.00,,32770092.00
California,322332341.00,,282907926.00,94336283.00,155231252.00,39189007.00,14176746.00,8551427.00,80753345.00,9902185.00,2658542.00,,23164164.00,10176227.00,,775236.00,,38649179.00,,327898210.00,103512395.00,224385815.00,152385408.00,10333559.00,49297544.00,5182384.00,7186920.00,33914171.00,,327898210.00,277247872.00,103512395.00,173735477.00,,,94666744.00,107043559.00,10968673.00,9053782.00,10923189.00,,1920894.00,9528475.00,6898403.00,632840.00,8043094.00,,6993920.00,10574299.00,,1352794.00,,49297544.00,,151307658.00,,634296643.00
Colorado,31424888.00,,27554624.00,8703745.00,12795318.00,2840173.00,2056856.00,702499.00,6485602.00,626109.00,84079.00,,3861835.00,2193726.00,,,,3870264.00,,34282697.00,7310747.00,26971950.00,18313755.00,1836545.00,5483219.00,478980.00,859451.00,5242693.00,,34282697.00,28786175.00,7310747.00,21475428.00,,,11463040.00,8690488.00,914125.00,611792.00,1863019.00,,239388.00,1041204.00,354229.00,105729.00,955647.00,,847767.00,1699747.00,,13303.00,,5483219.00,,16686588.00,,72096139.00
Connecticut,28139072.00,,26171704.00,7320793.00,15244947.00,3752793.00,2396989.00,455454.00,7557153.00,719467.00,363091.00,,2038995.00,1566969.00,,34650.00,,1932718.00,,31918825.00,5438230.00,26480595.00,17605393.00,2305066.00,4514111.00,563907.00,1492118.00,4576230.00,,31918825.00,26645799.00,5438230.00,21207569.00,,,8246895.00,7726922.00,1416094.00,1085064.00,1413880.00,,241020.00,693520.00,233360.00,68926.00,1518277.00,,1492118.00,2509723.00,,758915.00,,4514111.00,,37024731.00,,46766950.00
Delaware,8083659.00,,7962885.00,2231253.00,3522301.00,0.00,539193.00,1452596.00,1112368.00,318152.00,99992.00,,1200655.00,1008676.00,,20827.00,,99947.00,,9377257.00,1511805.00,7865452.00,5968905.00,692112.00,678409.00,327965.00,198061.00,1405778.00,,9377257.00,8561860.00,1511805.00,7050055.00,,,3072776.00,2454630.00,45578.00,456558.00,603206.00,,132830.00,308341.00,96033.00,55288.00,519097.00,,198061.00,619462.00,,136988.00,,678409.00,,5045161.00,,12004076.00
Florida,85575636.00,,80261324.00,27390107.00,37640420.00,22291157.00,8138145.00,2241468.00,0.00,2272230.00,2697420.00,,8234288.00,6996509.00,,24757.00,,5289555.00,,87924052.00,20407866.00,67516186.00,49167712.00,6473452.00,8892649.00,1987559.00,994814.00,9126839.00,,87924052.00,78769484.00,20407866.00,58361618.00,,,26379172.00,25597070.00,957317.00,3612735.00,8007319.00,,566008.00,2308698.00,1078512.00,147043.00,2445200.00,,994814.00,6675596.00,,261919.00,,8892649.00,,33469117.00,,193258838.00
Georgia,45859766.00,,42279551.00,14571741.00,21454860.00,5480196.00,2928260.00,663946.00,10439534.00,981002.00,961922.00,,3680186.00,2572764.00,,5699.00,,3574516.00,,47487009.00,11835632.00,35651377.00,24326941.00,3130936.00,6372959.00,1185669.00,634872.00,6354544.00,,47487009.00,41028179.00,11835632.00,29192547.00,,,18229558.00,12005228.00,1290511.00,1451470.00,2772343.00,,436293.00,1230802.00,449981.00,226249.00,919534.00,,634872.00,1381338.00,,85871.00,,6372959.00,,13130551.00,,94038910.00
Hawaii,13417567.00,,12919296.00,2943334.00,6919035.00,3206154.00,1109748.00,263130.00,2116130.00,108169.00,115704.00,,1799125.00,1257802.00,,,95.00,498176.00,,12191854.00,134933.00,12056921.00,9461147.00,950020.00,1385193.00,139811.00,120750.00,3233075.00,,12191854.00,10806661.00,134933.00,10671728.00,,,3386370.00,2760118.00,627076.00,515683.00,456996.00,,38801.00,266716.00,176518.00,71879.00,563903.00,,120750.00,1821851.00,,0.00,,1385193.00,,9216583.00,,22382636.00
