Table 12,,,,,,,
"Agency Hate Crime Reporting by State, 2016",,,,,,,
Participating state,"Number of
participating
agencies","Population
covered","Agencies
submitting
incident
reports","Total
number of
incidents
reported",,,
Total,"15,254","289,814,003","1,776","6,121",,,
Alabama,28,"1,013,839",4,14,,,
Alaska,32,"738,566",3,11,,,
Arizona,85,"6,361,910",18,213,,,
Arkansas,288,"2,853,645",5,12,,,
California,733,"39,242,633",213,931,,,
Colorado,229,"5,519,770",37,104,,,
Connecticut,106,"3,576,452",42,106,,,
Delaware,63,"952,065",8,15,,,
District of Columbia,2,"681,170",2,115,,,
Florida,46,"8,988,095",44,96,,, 
Georgia,493,"8,216,137",6,39,,,
Idaho,111,"1,683,140",14,27,,,
Illinois,738,"12,373,460",42,111,,,
Indiana,164,"2,874,580",24,78,,,
Iowa,241,"3,113,786",12,17,,,
Kansas,343,"2,591,338",30,49,,,
Kentucky,405,"4,427,530",79,206,,,
Louisiana,139,"3,560,451",10,26,,,
Maine,199,"1,331,479",14,40,,,
Maryland,154,"6,016,447",10,37,,,
Massachusetts,351,"6,637,616",84,391,,,
Michigan,625,"9,847,710",166,399,,,
Minnesota,331,"5,178,985",34,119,,,
Mississippi,26,"585,454",4,7,,,
Missouri,612,"6,089,857",24,88,,,
Montana,109,"1,042,048",10,20,,,
Nebraska,235,"1,846,626",7,31,,,
Nevada,51,"2,940,058",4,41,,,
New Hampshire,174,"1,275,170",19,28,,,
New Jersey,507,"8,942,857",117,282,,,
New Mexico,18,"576,958",2,26,,,
New York,584,"19,738,790",72,595,,,
North Carolina,528,"10,145,637",41,148,,,
North Dakota,108,"757,493",6,8,,,
Ohio,562,"9,573,452",115,442,,,
Oklahoma,355,"3,869,095",22,33,,,
Oregon,170,"3,547,910",28,104,,,
Pennsylvania,"1,463","12,644,372",20,61,,,
Rhode Island,49,"1,056,426",10,12,,,
South Carolina,440,"4,936,962",21,23,,,
South Dakota,112,"787,337",12,18,,,
Tennessee,463,"6,651,194",55,142,,,
Texas,"1,097","27,862,596",66,178,,,
Utah,130,"3,014,190",32,66,,,
Vermont,90,"624,594",15,25,,,
Virginia,419,"8,411,424",55,122,,,
Washington,253,"7,282,106",80,387,,,
West Virginia,324,"1,621,366",19,41,,,
Wisconsin,414,"5,652,781",18,34,,,
Wyoming,55,"556,446",1,3,,,
,,,,,,,
