State code,Year,Incidents
AL,2012,42.48238751
AK,2012,19.03154796
AZ,2012,29.46011001
AR,2012,10.91486984
CA,2012,23.98919105
CO,2012,36.99251988
CT,2012,41.67905616
DE,2012,10.90403144
FL,2012,7.490481627
GA,2012,2.728558339
ID,2012,21.94025856
IL,2012,6.830548326
IN,2012,13.78218559
IA,2012,2.724984979
KS,2012,35.86028832
KY,2012,55.56540952
LA,2012,1.807487245
ME,2012,39.12151141
MD,2012,5.947765365
MA,2012,33.29411832
MI,2012,63.8288914
MN,2012,18.77699193
MS,2012,25.45374842
MO,2012,17.27663717
MT,2012,36.16600195
NE,2012,13.35678191
NV,2012,41.45347735
NH,2012,24.45078479
NJ,2012,118.3744585
NM,2012,8.949907368
NY,2012,37.19532284
NC,2012,12.20456367
ND,2012,59.45415287
OH,2012,26.11355515
OK,2012,15.40399169
OR,2012,25.79467439
PA,2012,3.007308631
RI,2012,11.43678413
SC,2012,31.39526941
SD,2012,38.34006047
TN,2012,49.1001811
TX,2012,51.93806458
UT,2012,36.43021079
VT,2012,19.26228653
VA,2012,16.36967715
WA,2012,39.47383697
WV,2012,15.57114079
WI,2012,11.96631553
WY,2012,3.601754054
AL,2013,5.228247875
AK,2013,10.94466106
AZ,2013,24.37664592
AR,2013,9.610127793
CA,2013,21.99639604
CO,2013,24.79046249
CT,2013,40.65762161
DE,2013,12.96247687
FL,2013,3.906344567
GA,2013,7.291171261
ID,2013,19.85510735
IL,2013,8.557783622
IN,2013,18.5875771
IA,2013,3.380140391
KS,2013,24.01099103
KY,2013,39.45315618
LA,2013,6.796223277
ME,2013,18.82102112
MD,2013,8.60205768
MA,2013,53.87556991
MI,2013,33.7992007
MN,2013,29.36250934
MS,2013,2.671418229
MO,2013,16.88721032
MT,2013,30.99950401
NE,2013,23.82157639
NV,2013,32.74508801
NH,2013,17.82550864
NJ,2013,46.5257827
NM,2013,13.500135
NY,2013,31.51312499
NC,2013,11.98458295
ND,2013,70.63506463
OH,2013,35.65836129
OK,2013,10.64777976
OR,2013,28.67977854
PA,2013,5.05616251
RI,2013,6.657086802
SC,2013,10.71112188
SD,2013,16.93473483
TN,2013,30.17251598
TX,2013,5.01813848
UT,2013,26.00909209
VT,2013,19.247827
VA,2013,14.40968079
WA,2013,41.76725135
WV,2013,33.52753359
WI,2013,8.784295647
WY,2013,1.730142719
AL,2014,11.32207919
AK,2014,8.192569067
AZ,2014,41.19010492
AR,2014,3.005464686
CA,2014,19.56059532
CO,2014,18.22118699
CT,2014,36.43729734
DE,2014,13.89461893
FL,2014,3.283777095
GA,2014,4.997163196
ID,2014,15.2997746
IL,2014,9.060969351
IN,2014,8.205365193
IA,2014,3.697971226
KS,2014,25.67548508
KY,2014,37.15916158
LA,2014,3.325751851
ME,2014,21.05122289
MD,2014,2.677193839
MA,2014,57.81707694
MI,2014,31.95502048
MN,2014,18.53554797
MS,2014,0.74093009
MO,2014,12.53834506
MT,2014,30.22054957
NE,2014,26.65429605
NV,2014,8.467152564
NH,2014,11.3068269
NJ,2014,37.59822957
NM,2014,18.13084894
NY,2014,27.73201148
NC,2014,14.08046422
ND,2014,54.18761921
OH,2014,41.49831788
OK,2014,8.509429092
OR,2014,17.03289576
PA,2014,3.972252071
RI,2014,3.794598389
SC,2014,10.1805743
SD,2014,23.18141778
TN,2014,29.75500739
TX,2014,5.385778084
UT,2014,17.0858918
VT,2014,23.94995418
VA,2014,14.17427122
WA,2014,43.67711382
WV,2014,15.77480376
WI,2014,9.090568802
WY,2014,0
AL,2015,7.986289139
AK,2015,10.88701995
AZ,2015,41.67371295
AR,2015,1.815183136
CA,2015,21.38623369
CO,2015,19.64797801
CT,2015,27.36044116
DE,2015,11.62871828
FL,2015,13.44066702
GA,2015,5.506033236
ID,2015,20.55032563
IL,2015,7.199419439
IN,2015,19.53636788
IA,2015,1.932308652
KS,2015,22.61681677
KY,2015,42.70429005
LA,2015,10.23755437
ME,2015,28.58587196
MD,2015,6.826051075
MA,2015,62.59252767
MI,2015,31.42073586
MN,2015,20.8874883
MS,2015,0
MO,2015,16.44876711
MT,2015,43.95359672
NE,2015,10.43270466
NV,2015,20.06333788
NH,2015,10.25467081
NJ,2015,36.84518157
NM,2015,22.60979665
NY,2015,25.29552509
NC,2015,16.03315777
ND,2015,47.56072911
OH,2015,42.52849486
OK,2015,9.494519481
OR,2015,38.88918139
PA,2015,5.099365519
RI,2015,17.04064573
SC,2015,11.39603265
SD,2015,20.45638188
TN,2015,33.48333159
TX,2015,6.97326214
UT,2015,15.84208609
VT,2015,12.77869536
VA,2015,18.85378981
WA,2015,38.38935573
WV,2015,27.43386932
WI,2015,7.705054803
WY,2015,3.542475163
AL,2016,13.80889865
AK,2016,14.89372649
AZ,2016,33.48051136
AR,2016,4.205148153
CA,2016,23.72419812
CO,2016,18.84136477
CT,2016,29.63831194
DE,2016,15.7552268
FL,2016,10.68079498
GA,2016,4.746756292
ID,2016,16.04144634
IL,2016,8.970813338
IN,2016,27.13439876
IA,2016,5.459591635
KS,2016,18.90915041
KY,2016,46.5270704
LA,2016,7.302445673
ME,2016,30.04178061
MD,2016,6.149809015
MA,2016,58.9066918
MI,2016,40.51703391
MN,2016,22.97747532
MS,2016,11.95653288
MO,2016,14.45025721
MT,2016,19.19297384
NE,2016,16.7873733
NV,2016,13.94530312
NH,2016,21.9578566
NJ,2016,31.53354683
NM,2016,45.0639388
NY,2016,30.14369169
NC,2016,14.58755128
ND,2016,10.5611537
OH,2016,46.16934414
OK,2016,8.52912632
OR,2016,29.31303218
PA,2016,4.824280716
RI,2016,11.35905402
SC,2016,4.658735473
SD,2016,22.8618749
TN,2016,21.34955017
TX,2016,6.388493018
UT,2016,21.89642989
VT,2016,40.02600089
VA,2016,14.50408397
WA,2016,53.14396687
WV,2016,25.28731946
WI,2016,6.014738586
WY,2016,5.39135873
